"","Edu2F","LabRatio","LifeExpectancy","EYE","GNI","MaternalMortality","Adolescent.Birth.Rate","Parliament"
"Norway",97.4,0.890829694323144,81.6,17.5,"64,992",4,7.8,39.6
"Australia",94.3,0.818941504178273,82.4,20.2,"42,261",6,12.1,30.5
"Switzerland",95,0.825100133511348,83,15.8,"56,431",6,1.9,28.5
"Denmark",95.5,0.884036144578313,80.2,18.7,"44,025",5,5.1,38
"Netherlands",87.7,0.828611898016997,81.6,17.9,"45,435",6,6.2,36.9
"Germany",96.3,0.807228915662651,80.9,16.5,"43,919",7,3.8,36.9
"Ireland",80.5,0.779735682819383,80.9,18.6,"39,568",9,8.2,19.9
"United States",95.1,0.817126269956459,79.1,16.5,"52,947",28,31,19.4
"Canada",100,0.867605633802817,82,15.9,"42,155",11,14.5,28.2
"New Zealand",95,0.840108401084011,81.8,19.2,"32,689",8,25.3,31.4
"Singapore",74.1,0.761658031088083,83,15.4,"76,628",6,6,25.3
"Sweden",86.5,0.888070692194403,82.2,15.8,"45,636",4,6.5,43.6
"United Kingdom",99.8,0.810771470160116,80.7,16.2,"39,267",8,25.8,23.5
"Iceland",91,0.910852713178295,82.6,19,"35,182",4,11.5,41.3
"Korea (Republic of)",77,0.694868238557559,81.9,16.9,"33,890",27,2.2,16.3
"Israel",84.4,0.837916063675832,82.4,16,"30,676",2,7.8,22.5
"Luxembourg",100,0.784829721362229,81.7,13.9,"58,711",11,8.3,28.3
"Japan",87,0.693181818181818,83.5,15.3,"36,927",6,5.4,11.6
"Belgium",77.5,0.801011804384486,80.8,16.3,"41,187",6,6.7,42.4
"France",78,0.823051948051948,82.2,16,"38,056",12,5.7,25.7
"Austria",100,0.806499261447563,81.4,15.7,"43,869",4,4.1,30.3
"Finland",100,0.8703125,80.8,17.1,"38,695",4,9.2,42.5
"Slovenia",95.8,0.82753164556962,80.4,16.8,"27,852",7,0.6,27.7
"Spain",66.8,0.797872340425532,82.6,17.3,"32,045",4,10.6,38
"Italy",71.2,0.665546218487395,83.1,16,"33,030",4,4,30.1
"Czech Republic",99.9,0.748169838945827,78.6,16.4,"26,660",5,4.9,18.9
"Greece",59.5,0.7072,80.9,17.6,"24,524",5,11.9,21
"Estonia",100,0.815674891146589,76.8,16.5,"25,214",11,16.8,19.8
"Cyprus",76,0.787623066104079,80.2,14,"28,633",10,5.5,12.5
"Qatar",66.7,0.531937172774869,78.2,13.8,"123,124",6,9.5,0
"Slovakia",99.1,0.744897959183674,76.3,15.1,"25,845",7,15.9,18.7
"Poland",79.4,0.75346687211094,77.4,15.5,"23,177",3,12.2,22.1
"Lithuania",89.1,0.829123328380386,73.3,16.4,"24,500",11,10.6,23.4
"Malta",68.6,0.571644042232277,80.6,14.4,"27,930",9,18.2,13
"Saudi Arabia",60.5,0.257982120051086,74.3,16.3,"52,821",16,10.2,19.9
"Argentina",56.3,0.633333333333333,76.3,17.9,"22,050",69,54.4,36.8
"United Arab Emirates",73.1,0.505434782608696,77,13.3,"60,868",8,27.6,17.5
"Chile",73.3,0.657754010695187,81.7,15.2,"21,290",22,55.3,15.8
"Portugal",47.7,0.829305135951662,80.9,16.3,"25,757",8,12.6,31.3
"Hungary",97.9,0.746666666666667,75.2,15.4,"22,916",14,12.1,10.1
"Bahrain",56.7,0.451093210586881,76.6,14.4,"38,599",22,13.8,15
"Latvia",98.9,0.812130177514793,74.2,15.2,"22,281",13,13.5,18
"Croatia",85,0.76541095890411,77.3,14.8,"19,409",13,12.7,25.8
"Kuwait",55.6,0.524669073405536,74.4,14.7,"83,961",14,14.5,1.5
"Montenegro",84.2,0.75043630017452,76.2,15.2,"14,558",7,15.2,17.3
"Belarus",87,0.793977812995246,71.3,15.7,"16,676",1,20.6,30.1
"Russian Federation",89.6,0.796373779637378,70.1,14.7,"22,352",24,25.7,14.5
"Oman",47.2,0.351089588377724,76.8,13.6,"34,858",11,10.6,9.6
"Romania",86.1,0.750385208012327,74.7,14.2,"18,108",33,31,12
"Uruguay",54.4,0.723958333333333,77.2,15.5,"19,283",14,58.3,11.5
"Bahamas",91.2,0.873896595208071,75.4,12.6,"21,336",37,28.5,16.7
"Kazakhstan",95.3,0.869062901155327,69.4,15,"20,867",26,29.9,20.1
"Barbados",89.5,0.860313315926893,75.6,15.4,"12,488",52,48.4,19.6
"Bulgaria",93,0.811864406779661,74.2,14.4,"15,596",5,35.9,20.4
"Panama",54,0.599022004889976,77.6,13.3,"18,192",85,78.5,19.3
"Malaysia",65.1,0.588079470198675,74.7,12.7,"22,762",29,5.7,14.2
"Mauritius",49.4,0.587601078167116,74.4,15.6,"17,470",73,30.9,11.6
"Trinidad and Tobago",59.7,0.701986754966887,70.4,12.3,"26,090",84,34.8,24.7
"Serbia",58.4,0.730706075533662,74.9,14.4,"12,190",16,16.9,34
"Cuba",74.3,0.62,79.4,13.8,"7,301",80,43.1,48.9
"Lebanon",53,0.328631875881523,79.3,13.8,"16,509",16,12,3.1
"Costa Rica",50.7,0.589873417721519,79.4,13.9,"13,413",38,60.8,33.3
"Iran (Islamic Republic of)",62.2,0.22554347826087,75.4,15.1,"15,440",23,31.6,3.1
"Venezuela (Bolivarian Republic of)",56.6,0.64520202020202,74.2,14.2,"16,159",110,83.2,17
"Turkey",39,0.415254237288136,75.3,14.5,"18,677",20,30.9,14.4
"Sri Lanka",72.7,0.46002621231979,74.9,13.7,"9,779",29,16.9,5.8
"Mexico",55.7,0.564455569461827,76.8,13.1,"16,056",49,63.4,37.1
"Brazil",54.6,0.735148514851485,74.5,15.2,"15,175",69,70.8,9.6
"Georgia",89.7,0.752330226364847,74.9,13.8,"7,164",41,46.8,11.3
"Azerbaijan",93.7,0.903735632183908,70.8,11.9,"16,428",26,40,15.6
"Jordan",69.5,0.234234234234234,74,13.5,"11,365",50,26.5,11.6
"The former Yugoslav Republic of Macedonia",40.2,0.638518518518518,75.4,13.4,"11,780",7,18.3,33.3
"Ukraine",91.7,0.795216741405082,71,15.1,"8,178",23,25.7,11.8
"Algeria",26.7,0.210526315789474,74.8,14,"13,054",89,10,25.7
"Peru",56.3,0.808056872037915,74.6,13.1,"11,015",89,50.7,22.3
"Albania",81.8,0.685496183206107,77.8,11.8,"9,943",21,15.3,20.7
"Armenia",94,0.746556473829201,74.7,12.3,"8,124",29,27.1,10.7
"Bosnia and Herzegovina",44.9,0.595113438045375,76.5,13.6,"9,638",8,15.1,19.3
"Ecuador",40.1,0.66142684401451,75.9,14.2,"10,605",87,77,41.6
"China",58.7,0.816091954022989,75.8,13.1,"12,547",32,8.6,23.6
"Fiji",64.2,0.520833333333333,70,15.7,"7,493",59,42.8,14
"Mongolia",85.3,0.816738816738817,69.4,14.6,"10,729",68,18.7,14.9
"Thailand",35.7,0.796778190830235,74.4,13.5,"13,323",26,41,6.1
"Libya",55.5,0.392670157068063,71.6,14,"14,911",15,2.5,16
"Tunisia",32.8,0.354019746121298,74.8,14.6,"10,404",46,4.6,31.3
"Colombia",56.9,0.700125470514429,74,13.5,"12,040",83,68.5,20.9
"Jamaica",74,0.791255289139633,75.7,12.4,"7,415",80,70.1,16.7
"Tonga",87.5,0.7171581769437,72.8,14.7,"5,069",120,18.1,0
"Belize",76.4,0.597812879708384,70,13.6,"7,614",45,71.4,13.3
"Dominican Republic",55.6,0.652671755725191,73.5,13.1,"11,883",100,99.6,19.1
"Suriname",44.6,0.588662790697674,71.1,12.7,"15,617",130,35.2,11.8
"Maldives",27.3,0.725161290322581,76.8,13,"12,328",31,4.2,5.9
"Samoa",64.3,0.402397260273973,73.4,12.9,"5,327",58,28.3,6.1
"Botswana",73.6,0.881127450980392,64.5,12.5,"16,646",170,44.2,9.5
"Moldova (Republic of)",93.6,0.850678733031674,71.6,11.9,"5,223",21,29.3,20.8
"Egypt",43.9,0.316844919786096,71.1,13.5,"10,512",45,43,2.2
"Gabon",53.9,0.859327217125382,64.4,12.5,"16,367",240,103,16.2
"Indonesia",39.9,0.610451306413302,68.9,13,"9,788",190,48.3,17.1
"Paraguay",36.8,0.65683962264151,72.9,11.9,"7,643",110,67,16.8
"Philippines",65.9,0.641154328732748,68.2,11.3,"7,915",120,46.8,27.1
"El Salvador",36.8,0.605063291139241,73,12.3,"7,349",69,76,27.4
"South Africa",72.7,0.735537190082645,57.4,13.6,"12,122",140,50.9,40.7
"Viet Nam",59.4,0.888077858880779,75.8,11.9,"5,092",49,29,24.3
"Bolivia (Plurinational State of)",47.6,0.793572311495674,68.3,13.2,"5,760",200,71.9,51.8
"Kyrgyzstan",94.5,0.70440251572327,70.6,12.5,"3,044",75,29.3,23.3
"Iraq",27.8,0.213467048710602,69.4,10.1,"14,003",67,68.7,26.5
"Guyana",60.3,0.529192546583851,66.4,10.3,"6,522",250,88.5,31.3
"Nicaragua",39.4,0.590286425902864,74.9,11.5,"4,457",100,100.8,39.1
"Morocco",20.7,0.349604221635884,74,11.6,"6,850",120,35.8,11
"Namibia",33.3,0.858712715855573,64.8,11.3,"9,418",130,54.9,37.7
"Guatemala",21.9,0.558956916099773,71.8,10.7,"6,929",140,97.2,13.3
"Tajikistan",95.1,0.763942931258106,69.4,11.2,"2,517",44,42.8,15.2
"India",27,0.337922403003755,68,11.7,"5,497",190,32.8,12.2
"Honduras",28,0.516284680337756,73.1,11.1,"3,938",120,84,25.8
"Bhutan",34,0.863989637305699,69.5,12.6,"7,176",120,40.9,8.3
"Syrian Arab Republic",29.5,0.185694635488308,69.6,12.3,"2,728",49,41.6,12.4
"Congo",39.7,0.938356164383562,62.3,11.1,"6,012",410,126.7,11.5
"Zambia",25.8,0.853971962616822,60.1,13.5,"3,734",280,125.4,12.7
"Ghana",45.2,0.942577030812325,61.4,11.5,"3,852",380,58.4,10.9
"Bangladesh",34.1,0.682520808561237,71.6,10,"3,191",170,80.6,20
"Cambodia",9.9,0.910982658959538,68.4,10.9,"2,949",170,44.3,19
"Kenya",25.3,0.859116022099447,61.6,11,"2,762",400,93.6,20.8
"Nepal",17.7,0.917336394948335,69.6,12.4,"2,311",190,73.7,29.5
"Pakistan",19.3,0.296743063932449,66.2,7.8,"4,866",170,27.3,19.7
"Myanmar",22.9,0.913730255164034,65.9,8.6,"4,608",200,12.1,4.7
"Swaziland",21.9,0.613128491620112,49,11.3,"5,542",310,72,14.7
"Tanzania (United Republic of)",5.6,0.976718403547672,65,9.2,"2,411",410,122.7,36
"Cameroon",21.3,0.830729166666667,55.5,10.4,"2,803",590,115.8,27.1
"Zimbabwe",48.7,0.927536231884058,57.5,10.9,"1,615",470,60.3,35.1
"Mauritania",8.3,0.36283185840708,63.1,8.5,"3,560",320,73.3,22.2
"Papua New Guinea",7.6,0.952702702702703,62.6,9.9,"2,463",220,62.1,2.7
"Yemen",8.6,0.35180055401662,63.8,9.2,"3,519",270,47,0.7
"Lesotho",21.9,0.802721088435374,49.8,11.1,"3,306",490,89.4,26.8
"Togo",16.1,0.991389913899139,59.7,12.2,"1,228",450,91.5,17.6
"Haiti",22.4,0.857746478873239,62.8,8.7,"1,669",380,42,3.5
"Rwanda",8,1.01289566236811,64.2,10.3,"1,458",320,33.6,57.5
"Uganda",22.9,0.957070707070707,58.5,9.8,"1,613",360,126.6,35
"Benin",11.3,0.863346104725415,59.6,11.1,"1,767",340,90.2,8.4
"Sudan",12.1,0.411842105263158,63.5,7,"3,809",360,84,23.8
"Senegal",7.2,0.75,66.5,7.9,"2,188",320,94.4,42.7
"Afghanistan",5.9,0.19874213836478,60.4,9.3,"1,885",400,86.8,27.6
"C̫te d'Ivoire",14,0.643734643734644,51.5,8.9,"3,171",720,130.3,9.2
"Malawi",11.1,1.03803680981595,62.8,10.8,"747",510,144.8,16.7
"Ethiopia",7.8,0.875699888017917,64.1,8.5,"1,428",420,78.4,25.5
"Gambia",17.4,0.870928829915561,60.2,8.8,"1,507",430,115.8,9.4
"Congo (Democratic Republic of the)",12.8,0.965846994535519,58.7,9.8,"680",730,135.3,8.2
"Liberia",15.4,0.898148148148148,60.9,9.5,"805",640,117.4,10.7
"Mali",7.7,0.624078624078624,58,8.4,"1,583",550,175.6,9.5
"Mozambique",1.4,1.03260869565217,55.1,9.3,"1,123",480,137.8,39.6
"Sierra Leone",10,0.952173913043478,50.9,8.6,"1,780",1100,100.7,12.4
"Burkina Faso",0.9,0.856666666666667,58.7,7.8,"1,591",400,115.4,13.3
"Burundi",5.3,1.01585365853659,56.7,10.1,"758",740,30.3,34.9
"Chad",1.7,0.808080808080808,51.6,7.4,"2,085",980,152,14.9
"Central African Republic",10.1,0.853113983548766,50.7,7.2,"581",880,98.3,12.5
"Niger",2.4,0.445930880713489,61.4,5.4,"908",630,204.8,13.3
